title,stars_in_movie
Miss Congeniality,Michael Caine
Journey to the Center of the Earth,Josh Hutcherson
The Pelican Brief,Denzel Washington
Patriot Games,"Harrison Ford, Samuel L. Jackson"
Prisoners,"Hugh Jackman, Jake Gyllenhaal"
Training Day,Denzel Washington
Galaxy Quest,Sigourney Weaver
The Muppets,Emily Blunt
Coach Carter,"Channing Tatum, Samuel L. Jackson"
Changing Lanes,Samuel L. Jackson
Love Actually,Liam Neeson
From Hell,Johnny Depp
Kicking & Screaming,Josh Hutcherson
Blended,Adam Sandler
The River Wild,Meryl Streep
Cellular,"Jason Statham, Chris Evans"
The Ant Bully,Meryl Streep
Revolutionary Road,Leonardo DiCaprio
Multiplicity,Michael Keaton
The Producers,"Uma Thurman, Matthew Broderick"
All the Pretty Horses,Matt Damon
The Ghost Writer,Ewan McGregor
Miracle at St. Anna,Joseph Gordon-Levitt
The Fugitive,Harrison Ford
Sleepers,"Brad Pitt, Robert De Niro"
The Juror,Joseph Gordon-Levitt
Heaven's Gate,Willem Dafoe
Victor Frankenstein,Daniel Radcliffe
Finding Forrester,Matt Damon
28 Days,Viggo Mortensen
The Sweetest Thing,Cameron Diaz
The Mechanic,Jason Statham
21 Jump Street,"Channing Tatum, Johnny Depp"
Along Came Polly,Kevin Hart
Brüno,Harrison Ford
Red Riding Hood,Gary Oldman
15 Minutes,Robert De Niro
The Interview,"Emma Stone, Joseph Gordon-Levitt"
A Knight's Tale,Heath Ledger
Man on a Ledge,Sam Worthington
American Hustle,"Christian Bale, Jennifer Lawrence, Robert De Niro"
The Proposal,Ryan Reynolds
Back to the Future Part II,Elijah Wood
Lucy,Scarlett Johansson
Spy Kids 3-D: Game Over,"George Clooney, Elijah Wood"
A Time to Kill,Samuel L. Jackson
Lone Survivor,Mark Wahlberg
A League of Their Own,Tom Hanks
The Social Network,"Andrew Garfield, Armie Hammer"
He's Just Not That Into You,Scarlett Johansson
Scary Movie 4,Kevin Hart
Scream 3,Carrie Fisher
Get Hard,Kevin Hart
Dracula,"Winona Ryder, Gary Oldman"
Julie & Julia,Meryl Streep
42,Harrison Ford
The Talented Mr. Ripley,Matt Damon
The Intern,Robert De Niro
Ride Along 2,Kevin Hart
Sin City,Elijah Wood
Vantage Point,Sigourney Weaver
JFK,Gary Oldman
The Mexican,Brad Pitt
The Other Woman,Cameron Diaz
Bridge of Spies,Tom Hanks
Small Soldiers,Kirsten Dunst
Unknown,Liam Neeson
The Prestige,"Hugh Jackman, Scarlett Johansson, Christian Bale, Michael Caine"
