title,critic_score,audience_score
The Life and Times of Grizzly Adams,,80.0
The Longest Yard,31.0,62.0
The Longest Yard,31.0,62.0
Murder on the Orient Express,90.0,78.0
"Ladies and Gentlemen, the Rolling Stones",,96.0
McQ,40.0,56.0
The Satanic Rites of Dracula,33.0,30.0
The Satanic Rites of Dracula,33.0,30.0
Arena,,
Luther,,
Rhinoceros,,51.0
Black Belt Jones,,69.0
The Bat People,,6.0
The Bat People,,6.0
The Street Fighter,,81.0
Zardoz,49.0,53.0
Blazing Saddles,89.0,91.0
Thieves Like Us,84.0,72.0
Crazy Joe,,36.0
From Beyond the Grave,60.0,61.0
Busting,17.0,55.0
Man on a Swing,,11.0
Billy Two Hats,,44.0
Alice in Wonderland,,
Three Tough Guys,,
The Super Cops,100.0,65.0
Godzilla vs. Mechagodzilla,86.0,63.0
Catch My Soul,,
Conrack,69.0,79.0
Mame,36.0,48.0
Dark Star,72.0,65.0
The Great Gatsby,52.0,
The Night Porter,67.0,68.0
The Night Porter,67.0,68.0
The Golden Voyage of Sinbad,76.0,64.0
The Sugarland Express,87.0,66.0
The Sugarland Express,87.0,66.0
Foxy Brown,64.0,66.0
Captain Kronos: Vampire Hunter,,60.0
The Conversation,97.0,89.0
The Conversation,97.0,89.0
Our Time,,
Thomasine & Bushrod,,55.0
Lovin' Molly,40.0,14.0
Score,,
Caged Heat,76.0,39.0
Son of Dracula,60.0,33.0
The Beast Must Die,43.0,37.0
Claudine,67.0,91.0
Lone Wolf and Cub - Cold Road To Hell,,83.0
The Apprenticeship of Duddy Kravitz,93.0,73.0
The Spikes Gang,,47.0
The Lords of Flatbush,67.0,42.0
The Lords of Flatbush,67.0,42.0
Frankenstein and the Monster From Hell,63.0,48.0
Symptoms,100.0,57.0
Stavisky,85.0,60.0
Alice in the Cities,100.0,91.0
The Black Windmill,57.0,36.0
The Black Windmill,57.0,36.0
"Dirty Mary, Crazy Larry",47.0,68.0
That's Entertainment!,100.0,86.0
Zandy's Bride,,58.0
The Driver's Seat,60.0,54.0
The Driver's Seat,60.0,54.0
Chosen Survivors,,29.0
Daisy Miller,69.0,32.0
The Nickel Ride,,59.0
The Nickel Ride,,59.0
Thunderbolt and Lightfoot,89.0,73.0
Huckleberry Finn,,38.0
Welcome to Arrow Beach,,67.0
"Birds Do It, Bees Do It",,
Bootleggers,,
Herbie Rides Again,83.0,53.0
Little Malcolm,,43.0
The Midnight Man,,
Midnight Man,,
The Parallax View,87.0,78.0
Chinatown,98.0,93.0
The Terminal Man,50.0,40.0
Where the Red Fern Grows,,75.0
The Groove Tube,14.0,59.0
The Nine Lives of Fritz the Cat,30.0,41.0
Three the Hard Way,33.0,49.0
Truck Turner,60.0,73.0
The Gravy Train,,
S.P.Y.S,,16.0
W,,
Oliver Twist,,
Carry on Dick,,57.0
Mr. Majestyk,83.0,67.0
The Take,90.0,91.0
The Take,,
The Mad Adventures of Rabbi Jacob,,91.0
My Name Is Nobody,100.0,84.0
The Education of Sonny Carson,,80.0
Golden Needles,,88.0
The White Dawn,,83.0
Death Wish,66.0,69.0
The Internecine Project,,47.0
Born to Kill,,
Uptown Saturday Night,70.0,79.0
Bank Shot,,28.0
The Bears and I,,27.0
The Bears and I,,27.0
The Castaway Cowboy,,24.0
The Castaway Cowboy,,24.0
California Split,87.0,83.0
Together Brothers,,64.0
Macon County Line,56.0,56.0
Harry and Tonto,88.0,81.0
Bring Me the Head of Alfredo Garcia,78.0,85.0
11 Harrowhouse,,79.0
Act of Vengeance,,50.0
Buster and Billie,,91.0
The Longest Yard,31.0,62.0
The Longest Yard,31.0,62.0
Newman's Law,,
The Girl From Petrovka,,22.0
The Girl From Petrovka,,22.0
99 and 44/100 Percent Dead,,35.0
Amazing Grace,,
The Black Godfather,,16.0
The Black Godfather,,16.0
Phase IV,,10.0
Homebodies,,71.0
The Dove,67.0,
The Dove,,80.0
Big Bad Mama,75.0,41.0
Nightmare Honeymoon,,0.0
