tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0384810,movie,Around the Bend,around the bend,0,2004.0,,85.0,Drama,around the bend,https://www.rottentomatoes.com/m/around_the_bend,"Released Oct 8, 2004",29%,60%
tt0385006,movie,How the Garcia Girls Spent Their Summer,how the garcia girls spent their summer,0,2005.0,,128.0,"Comedy,Drama,Romance",how the garcia girls spent their summer,https://www.rottentomatoes.com/m/how_the_garcia_girls_spent_their_summer,"Released May 16, 2008",79%,44%
tt0385267,movie,In Good Company,in good company,0,2004.0,,109.0,"Comedy,Drama,Romance",in good company,https://www.rottentomatoes.com/m/in_good_company,"Released Jan 14, 2005",82%,54%
tt0385307,movie,Miss Congeniality 2: Armed & Fabulous,miss congeniality 2: armed and fabulous,0,2005.0,,115.0,"Action,Comedy,Crime",miss congeniality 2: armed and fabulous,https://www.rottentomatoes.com/m/miss_congeniality_2_armed_and_fabulous,"Released Mar 24, 2005",15%,43%
tt0385574,movie,Burial,burial,0,2003.0,,45.0,,burial,https://www.rottentomatoes.com/m/burial,"Released Sep 2, 2022",61%,53%
tt0385752,movie,The Golden Compass,the golden compass,0,2007.0,,113.0,"Adventure,Family,Fantasy",the golden compass,https://www.rottentomatoes.com/m/the_golden_compass,"Released Dec 7, 2007",42%,51%
tt0385880,movie,Monster House,monster house,0,2006.0,,91.0,"Animation,Comedy,Family",monster house,https://www.rottentomatoes.com/m/monster_house,"Released Jul 21, 2006",75%,64%
tt0385887,movie,Motherless Brooklyn,motherless brooklyn,0,2019.0,,144.0,"Crime,Drama,Mystery",motherless brooklyn,https://www.rottentomatoes.com/m/motherless_brooklyn,"Released Nov 1, 2019",64%,80%
tt0386032,movie,Sicko,sicko,0,2007.0,,123.0,"Documentary,Drama",sicko,https://www.rottentomatoes.com/m/sicko,"Released Jun 29, 2007",91%,87%
tt0386117,movie,Where the Wild Things Are,where the wild things are,0,2009.0,,101.0,"Adventure,Drama,Family",where the wild things are,https://www.rottentomatoes.com/m/where_the_wild_things_are,"Released Oct 16, 2009",73%,57%
tt0386140,movie,The Legend of Zorro,the legend of zorro,0,2005.0,,129.0,"Action,Adventure,Romance",the legend of zorro,https://www.rottentomatoes.com/m/legend_of_zorro,"Released Oct 28, 2005",28%,48%
tt0386381,movie,Civic Duty,civic duty,0,2004.0,,,Thriller,civic duty,https://www.rottentomatoes.com/m/civic_duty,2006,56%,33%
tt0386588,movie,Hitch,hitch,0,2005.0,,118.0,"Comedy,Romance",hitch,https://www.rottentomatoes.com/m/hitch,"Released Feb 11, 2005",69%,62%
tt0387059,movie,Bee Season,bee season,0,2005.0,,104.0,"Drama,Family",bee season,https://www.rottentomatoes.com/m/bee_season,"Released Nov 11, 2005",44%,35%
tt0387131,movie,The Constant Gardener,the constant gardener,0,2005.0,,129.0,"Drama,Mystery,Romance",the constant gardener,https://www.rottentomatoes.com/m/constant_gardener,"Released Aug 31, 2005",83%,82%
tt0387514,movie,Prime,prime,0,2005.0,,105.0,"Comedy,Drama,Romance",prime,https://www.rottentomatoes.com/m/prime,"Released Oct 28, 2005",50%,52%
tt0387564,movie,Saw,saw,0,2004.0,,103.0,"Horror,Mystery,Thriller",saw,https://www.rottentomatoes.com/m/saw,"Released Oct 29, 2004",50%,84%
tt0387575,movie,Seed of Chucky,seed of chucky,0,2004.0,,87.0,"Comedy,Horror,Thriller",seed of chucky,https://www.rottentomatoes.com/m/seed_of_chucky,"Released Nov 12, 2004",35%,43%
tt0387808,movie,Idiocracy,idiocracy,0,2006.0,,84.0,"Adventure,Comedy,Sci-Fi",idiocracy,https://www.rottentomatoes.com/m/idiocracy,"Released Sep 1, 2006",71%,60%
tt0387877,movie,The Black Dahlia,the black dahlia,0,2006.0,,121.0,"Crime,Drama,Mystery",the black dahlia,https://www.rottentomatoes.com/m/black_dahlia,"Released Sep 15, 2006",32%,27%
tt0388125,movie,In Her Shoes,in her shoes,0,2005.0,,130.0,"Comedy,Drama,Romance",in her shoes,https://www.rottentomatoes.com/m/in_her_shoes,"Released Oct 7, 2005",74%,66%
tt0388183,movie,King's Ransom,king's ransom,0,2005.0,,95.0,"Comedy,Crime",king's ransom,https://www.rottentomatoes.com/m/kings_ransom,"Released Apr 22, 2005",2%,32%
tt0388419,movie,Christmas with the Kranks,christmas with the kranks,0,2004.0,,99.0,"Comedy,Family",christmas with the kranks,https://www.rottentomatoes.com/m/christmas_with_the_kranks,"Released Nov 24, 2004",5%,39%
tt0388482,movie,Transporter 2,transporter 2,0,2005.0,,87.0,"Action,Thriller",transporter 2,https://www.rottentomatoes.com/m/transporter_2,"Released Sep 2, 2005",52%,58%
tt0388795,movie,Brokeback Mountain,brokeback mountain,0,2005.0,,134.0,"Drama,Romance",brokeback mountain,https://www.rottentomatoes.com/m/brokeback_mountain,"Released Dec 9, 2005",88%,82%
tt0388888,movie,Dig!,dig!,0,2004.0,,107.0,"Documentary,Music",dig!,https://www.rottentomatoes.com/m/dig,"Released Oct 1, 2004",89%,90%
tt0388952,movie,Fracture,fracture,0,2004.0,,107.0,"Crime,Drama,Thriller",fracture,https://www.rottentomatoes.com/m/fracture,"Released Apr 20, 2007",72%,73%
tt0388980,movie,The Greatest Game Ever Played,the greatest game ever played,0,2005.0,,120.0,"Biography,Drama,Sport",the greatest game ever played,https://www.rottentomatoes.com/m/greatest_game_ever_played,"Released Sep 30, 2005",63%,82%
tt0389722,movie,30 Days of Night,30 days of night,0,2007.0,,113.0,"Horror,Thriller",30 days of night,https://www.rottentomatoes.com/m/30_days_of_night,"Released Oct 19, 2007",51%,56%
tt0389790,movie,Bee Movie,bee movie,0,2007.0,,91.0,"Adventure,Animation,Comedy",bee movie,https://www.rottentomatoes.com/m/bee_movie,"Released Nov 2, 2007",50%,53%
tt0390022,movie,Friday Night Lights,friday night lights,0,2004.0,,118.0,"Action,Drama,Sport",friday night lights,https://www.rottentomatoes.com/m/friday_night_lights,"Released Oct 8, 2004",82%,85%
tt0390521,movie,Super Size Me,super size me,0,2004.0,,100.0,Documentary,super size me,https://www.rottentomatoes.com/m/super_size_me,"Released May 7, 2004",92%,72%
tt0391198,movie,The Grudge,the grudge,0,2004.0,,91.0,"Horror,Mystery,Thriller",the grudge,https://www.rottentomatoes.com/m/the_grudge,"Released Oct 22, 2004",41%,46%
tt0391229,movie,I Want Someone to Eat Cheese With,i want someone to eat cheese with,0,2006.0,,80.0,"Comedy,Romance",i want someone to eat cheese with,https://www.rottentomatoes.com/m/i_want_someone_to_eat_cheese_with,2006,73%,38%
tt0391304,movie,A Lot Like Love,a lot like love,0,2005.0,,107.0,"Comedy,Drama,Romance",a lot like love,https://www.rottentomatoes.com/m/a_lot_like_love,2023,,
tt0393024,movie,Acrimony,acrimony,0,2004.0,,85.0,"Horror,Thriller",acrimony,https://www.rottentomatoes.com/m/acrimony,"Released Mar 30, 2018",18%,60%
tt0393162,movie,Coach Carter,coach carter,0,2005.0,,136.0,"Biography,Drama,Sport",coach carter,https://www.rottentomatoes.com/m/coach_carter,"Released Jan 14, 2005",64%,85%
tt0393956,movie,Viva,viva,0,2007.0,,120.0,"Comedy,Drama,Musical",viva,https://www.rottentomatoes.com/m/viva,2007,60%,39%
tt0395169,movie,Hotel Rwanda,hotel rwanda,0,2004.0,,121.0,"Biography,Drama,History",hotel rwanda,https://www.rottentomatoes.com/m/hotel_rwanda,"Released Dec 22, 2004",91%,94%
tt0395495,movie,Catch and Release,catch and release,0,2006.0,,124.0,"Comedy,Drama,Romance",catch and release,https://www.rottentomatoes.com/m/catch_and_release,"Released Jan 26, 2007",22%,55%
tt0395584,movie,The Devil's Rejects,the devil's rejects,0,2005.0,,107.0,"Crime,Drama,Horror",the devil's rejects,https://www.rottentomatoes.com/m/the_devils_rejects,"Released Jul 22, 2005",54%,78%
tt0395699,movie,The Pacifier,the pacifier,0,2005.0,,95.0,"Action,Comedy,Drama",the pacifier,https://www.rottentomatoes.com/m/pacifier,"Released Mar 4, 2005",21%,58%
tt0395707,movie,The Photograph,the photograph,0,2003.0,,73.0,"Mystery,Thriller",the photograph,https://www.rottentomatoes.com/m/the_photograph,2007,,60%
tt0395795,movie,Truce,truce,0,2005.0,,106.0,"Drama,Western",truce,https://www.rottentomatoes.com/m/truce,2005,,71%
tt0395972,movie,North Country,north country,0,2005.0,,126.0,Drama,north country,https://www.rottentomatoes.com/m/north_country,"Released Oct 21, 2005",70%,76%
tt0396171,movie,Perfume: The Story of a Murderer,perfume: the story of a murderer,0,2006.0,,147.0,"Crime,Drama,Fantasy",perfume: the story of a murderer,https://www.rottentomatoes.com/m/perfume_the_story_of_a_murderer,"Released Dec 27, 2006",59%,74%
tt0396269,movie,Wedding Crashers,wedding crashers,0,2005.0,,119.0,"Comedy,Romance",wedding crashers,https://www.rottentomatoes.com/m/wedding_crashers,"Released Jul 15, 2005",75%,70%
tt0396555,movie,Meet the Robinsons,meet the robinsons,0,2007.0,,95.0,"Adventure,Animation,Comedy",meet the robinsons,https://www.rottentomatoes.com/m/meet_the_robinsons,"Released Mar 30, 2007",67%,74%
tt0396592,movie,Fat Albert,fat albert,0,2004.0,,93.0,"Comedy,Family,Fantasy",fat albert,https://www.rottentomatoes.com/m/fat_albert,"Released Dec 25, 2004",23%,44%
tt0396652,movie,Ice Princess,ice princess,0,2005.0,,98.0,"Comedy,Drama,Family",ice princess,https://www.rottentomatoes.com/m/ice_princess,"Released Mar 18, 2005",52%,58%
tt0396707,movie,The Secret of Moonacre,the secret of moonacre,0,2008.0,,103.0,"Adventure,Family,Fantasy",the secret of moonacre,https://www.rottentomatoes.com/m/secret_of_moonacre,2009,23%,46%
tt0396752,movie,Nanny McPhee,nanny mcphee,0,2005.0,,97.0,"Comedy,Family,Fantasy",nanny mcphee,https://www.rottentomatoes.com/m/nanny_mcphee,"Released Jan 27, 2006",74%,64%
tt0397044,movie,Blood and Chocolate,blood and chocolate,0,2007.0,,98.0,"Drama,Fantasy,Horror",blood and chocolate,https://www.rottentomatoes.com/m/blood_and_chocolate,"Released Jan 26, 2007",11%,52%
