title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
A Passage to India,,76.0,79.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)",11,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - MUSIC (Original Score)(Won)","Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)",27187896.0
Starman,,86.0,70.0,Oscars - ACTOR IN A LEADING ROLE(Nominated),1,0,,Oscars - ACTOR IN A LEADING ROLE(Nominated),28700000.0
Birdy,,84.0,83.0,,0,0,,,
The Flamingo Kid,,85.0,55.0,,0,0,,,23859382.0
Johnny Dangerously,,44.0,63.0,,0,0,,,
Micki & Maude,,70.0,43.0,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won)",2,1,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Won),Golden Globes - Best Motion Picture - Musical or Comedy(Nominated),
Protocol,,33.0,38.0,,0,0,,,26300000.0
Back to the Future,,93.0,95.0,"Oscars - MUSIC (Original Song)(Nominated)
Oscars - SOUND(Nominated)
Oscars - SOUND EFFECTS EDITING(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",4,1,Oscars - SOUND EFFECTS EDITING(Won),"Oscars - MUSIC (Original Song)(Nominated)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated)",388862657.0
Rambo: First Blood Part II,,33.0,60.0,Oscars - SOUND EFFECTS EDITING(Nominated),1,0,,Oscars - SOUND EFFECTS EDITING(Nominated),300400000.0
Rocky IV,,40.0,80.0,,0,0,,,300373716.0
The Color Purple,,82.0,95.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Adapted Screenplay in 1987(Nominated)",13,0,,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MAKEUP(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Adapted Screenplay in 1987(Nominated)",94029472.0
Out of Africa,Meryl Streep,62.0,82.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Won)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Won)",17,10,"Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Won)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Won)
Golden Globes - Best Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",258210860.0
Cocoon,,82.0,60.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - VISUAL EFFECTS(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)",3,2,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - VISUAL EFFECTS(Won)",Golden Globes - Best Motion Picture - Musical or Comedy(Nominated),76257348.0
The Jewel of the Nile,,48.0,37.0,,0,0,,,68275764.0
The Goonies,,77.0,91.0,,0,0,,,69649283.0
Spies Like Us,,35.0,56.0,,0,0,,,60083467.0
Water,,91.0,90.0,Oscars - FOREIGN LANGUAGE FILM(Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM(Nominated),
Tuff Turf,,17.0,59.0,,0,0,,,
Blood Simple,,94.0,88.0,,0,0,,,
The New Kids,,40.0,48.0,,0,0,,,
The Falcon and the Snowman,,83.0,69.0,,0,0,,,
Heaven Help Us,,29.0,75.0,,0,0,,,
The Breakfast Club,,89.0,92.0,,0,0,,,45905126.0
Into the Night,,40.0,49.0,,0,0,,,
The Mean Season,,64.0,33.0,,0,0,,,
Turk 182!,,20.0,55.0,,0,0,,,
Lust in the Dust,,25.0,79.0,,0,0,,,
A Private Function,,90.0,62.0,"BAFTAs - Film | Film in 1985(Nominated)
BAFTAs - Film | Original Screenplay in 1985(Nominated)",2,0,,"BAFTAs - Film | Film in 1985(Nominated)
BAFTAs - Film | Original Screenplay in 1985(Nominated)",
The Purple Rose of Cairo,,93.0,88.0,Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated),1,0,,Oscars - WRITING (Screenplay Written Directly for the Screen)(Nominated),
The Sure Thing,,86.0,79.0,,0,0,,,18136000.0
Ghoulies,,7.0,20.0,,0,0,,,
Mask,,93.0,83.0,"Oscars - MAKEUP(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",3,1,Oscars - MAKEUP(Won),"Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",42417782.0
Lost in America,,95.0,77.0,,0,0,,,
Baby ... Secret of the Lost Legend,,12.0,38.0,,0,0,,,
Friday the 13th -- A New Beginning,,18.0,26.0,,0,0,,,
The Last Dragon,,61.0,86.0,,0,0,,,33000750.0
Porky's Revenge,,25.0,33.0,,0,0,,,20518000.0
The Secret of the Sword,,60.0,79.0,,0,0,,,
The Care Bears Movie,,43.0,58.0,,0,0,,,22934000.0
Desperately Seeking Susan,,85.0,62.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),27400522.0
King David,,8.0,43.0,,0,0,,,
Police Academy 2: Their First Assignment,,28.0,42.0,,0,0,,,55337042.0
The Slugger's Wife,,0.0,20.0,,0,0,,,
Cat's Eye,,69.0,53.0,,0,0,,,
Girls Just Want to Have Fun,,40.0,77.0,,0,0,,,
Ladyhawke,Matthew Broderick,67.0,74.0,"Oscars - SOUND(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)",2,0,,"Oscars - SOUND(Nominated)
Oscars - SOUND EFFECTS EDITING(Nominated)",18400000.0
The Company of Wolves,,86.0,73.0,,0,0,,,
Just One of the Guys,,57.0,65.0,,0,0,,,
Stick,,38.0,37.0,,0,0,,,
Code of Silence,,68.0,51.0,,0,0,,,20345361.0
Gotcha!,,31.0,53.0,,0,0,,,
Gymkata,,17.0,40.0,,0,0,,,
Private Resort,,14.0,40.0,,0,0,,,
Creature,,90.0,80.0,,0,0,,,
Rustlers' Rhapsody,,17.0,84.0,,0,0,,,
Fletch,,79.0,81.0,,0,0,,,46700000.0
Perfect,,18.0,28.0,,0,0,,,
