title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
blade runner,"Action,Drama,Sci-Fi",89%,91%,"Oscars - ART DIRECTION (Nominated)
Oscars - VISUAL EFFECTS (Nominated)
BAFTAs - Film | Cinematography in 1983 (Won)
BAFTAs - Film | Costume Design in 1983 (Won)
BAFTAs - Film | Film Editing in 1983 (Nominated)
BAFTAs - Film | Production Design in 1983 (Won)
BAFTAs - Film | Score for a Film in 1983 (Nominated)
BAFTAs - Film | Sound in 1983 (Nominated)
BAFTAs - Film | Special Visual Effects in 1983 (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",10,3,"BAFTAs - Film | Cinematography in 1983 (Won)
BAFTAs - Film | Costume Design in 1983 (Won)
BAFTAs - Film | Production Design in 1983 (Won)","Oscars - ART DIRECTION (Nominated)
Oscars - VISUAL EFFECTS (Nominated)
BAFTAs - Film | Film Editing in 1983 (Nominated)
BAFTAs - Film | Score for a Film in 1983 (Nominated)
BAFTAs - Film | Sound in 1983 (Nominated)
BAFTAs - Film | Special Visual Effects in 1983 (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$39,649,582"
britannia hospital,"Comedy,Sci-Fi",50%,54%,,0,0,,,
bugs bunny's 3rd movie: 1001 rabbit tales,"Adventure,Animation,Comedy",,63%,,0,0,,,
cannery row,"Drama,Romance",75%,72%,,0,0,,,
chan is missing,"Drama,Mystery",96%,75%,,0,0,,,
class of 1984,"Action,Crime,Drama",71%,67%,,0,0,,,
"come back to the 5 & dime jimmy dean, jimmy dean","Comedy,Drama",86%,81%,,0,0,,,
comeback,Drama,,,,0,0,,,
the concrete jungle,"Crime,Drama,Thriller",,20%,,0,0,,,
creepshow,"Comedy,Fantasy,Horror",66%,69%,,0,0,,,"$20,036,244"
the dark crystal,"Adventure,Family,Fantasy",78%,81%,BAFTAs - Film | Special Visual Effects in 1984 (Nominated),1,0,,BAFTAs - Film | Special Visual Effects in 1984 (Nominated),"$40,577,915"
dead men don't wear plaid,"Comedy,Crime,Mystery",77%,72%,,0,0,,,
deadly eyes,"Horror,Sci-Fi,Thriller",33%,28%,,0,0,,,
deathtrap,"Comedy,Crime,Drama",74%,70%,,0,0,,,"$19,282,000"
