primaryTitle,originalTitle,genres,critic_score,audience_score
Virginia,virginia,"Drama,Romance",,
Bambi,bambi,"Adventure,Animation,Drama",91%,73%
The Black Swan,the black swan,"Adventure,Drama",83%,73%
Boléro,boléro,Comedy,,
Cat People,cat people,"Fantasy,Horror,Thriller",92%,73%
The Dark Tower,the dark tower,"Drama,Thriller",,43%
Edge of Darkness,edge of darkness,"Drama,War",55%,49%
The Hard Way,the hard way,"Drama,Music,Romance",,71%
The Hard Way,the hard way,"Drama,Music,Romance",75%,53%
Hurricane Smith,hurricane smith,"Action,Crime,Drama",,
Journey Into Fear,journey into fear,"Drama,Film-Noir,Thriller",,
The Jungle Book,jungle book,"Action,Adventure,Family",,
Kate & Leopold,kate & leopold,"Comedy,Fantasy,Romance",52%,62%
To Be or Not to Be,to be or not to be,"Comedy,Romance,War",96%,93%
War Dogs,war dogs,"Action,Adventure,Drama",,
Destroyer,destroyer,"Drama,Thriller,War",74%,50%
Happy Go Lucky,happy go lucky,"Comedy,Musical,Romance",,50%
Heaven Can Wait,heaven can wait,"Comedy,Drama,Fantasy",86%,69%
Holy Matrimony,holy matrimony,"Comedy,Drama",0%,24%
Hostages,hostages,"Drama,War",,
The Memphis Belle: A Story of a Flying Fortress,the memphis belle: a story of a flying fortress,"Documentary,History,War",,81%
The Renegade,the renegade,Western,,
Son of Dracula,son of dracula,"Drama,Fantasy,Horror",60%,33%
Titanic,titanic,"Action,Drama,History",88%,69%
The Adventures of Mark Twain,the adventures of mark twain,"Adventure,Biography,Drama",,59%
Alaska,alaska,"Drama,Western",,
Atlantic City,atlantic city,"Musical,Romance",100%,78%
Bluebeard,bluebeard,"Crime,Horror,Thriller",,70%
Brazil,brazil,"Comedy,Musical,Romance",,
Captain America,captain america,"Action,Adventure,Sci-Fi",12%,19%
The Contender,the contender,"Drama,Sport",,
The Contender,the contender,"Drama,Sport",,
Dark Waters,dark waters,"Drama,Film-Noir,Mystery",67%,54%
End of the Road,end of the road,"Crime,Drama,Film-Noir",,
A Lady Surrenders,love story,"Drama,Music,Romance",63%,75%
Nothing But Trouble,nothing but trouble,Comedy,,43%
Thoroughbreds,thoroughbreds,Drama,,
The Uninvited,the uninvited,"Fantasy,Horror,Mystery",,17%
The Very Thought of You,the very thought of you,"Drama,Romance,War",40%,60%
