primaryTitle,originalTitle,genres,critic_score,audience_score
Shadow of the Hawk,shadow of the hawk,"Adventure,Horror",,39%
The Shaggy D.A.,the shaggy d.a.,"Comedy,Family,Fantasy",50%,44%
Shoot,shoot,"Action,Drama,Thriller",,46%
The Shootist,the shootist,"Drama,Romance,Western",,
The Shootist,the shootist,"Drama,Romance,Western",81%,88%
Shout at the Devil,shout at the devil,"Action,Adventure,Comedy",50%,33%
Silent Movie,silent movie,Comedy,79%,72%
Sky Riders,sky riders,"Action,Adventure",,38%
The Song Remains the Same,the song remains the same,"Documentary,Music",75%,87%
Sparkle,sparkle,"Drama,Music",78%,
Squirm,squirm,Horror,27%,27%
St. Ives,st. ives,"Action,Crime,Drama",33%,41%
Stay Hungry,stay hungry,"Comedy,Drama",67%,40%
Striptease,striptease,Drama,13%,24%
Stroszek,stroszek,"Comedy,Drama",96%,92%
Swashbuckler,swashbuckler,"Action,Adventure,Comedy",40%,56%
The Town That Dreaded Sundown,the town that dreaded sundown,"Crime,Drama,Horror",66%,40%
The Town That Dreaded Sundown,the town that dreaded sundown,"Crime,Drama,Horror",42%,40%
Tracks,tracks,"Drama,War",,43%
Treasure of Matecumbe,treasure of matecumbe,"Adventure,Drama,Family",,47%
Vigilante Force,vigilante force,"Action,Adventure,Crime",17%,14%
Voyage of the Damned,voyage of the damned,"Drama,War",77%,52%
What Maisie Knew,what maisie knew,Drama,86%,80%
Winterhawk,winterhawk,"Adventure,Western",,73%
3 Women,3 women,"Drama,Mystery,Thriller",85%,86%
ABBA: The Movie,abba: the movie,"Comedy,Documentary,Music",,68%
Across the Great Divide,across the great divide,"Adventure,Drama,Family",,50%
Airport '77,airport '77,"Action,Drama,Thriller",40%,32%
Bad,bad,"Comedy,Crime,Horror",67%,66%
Obsessed,obsessed,"Adult,Crime,Drama",,38%
Annie Hall,annie hall,"Comedy,Romance",97%,92%
Audrey Rose,audrey rose,"Drama,Fantasy,Horror",57%,43%
The Bad News Bears in Breaking Training,the bad news bears in breaking training,"Comedy,Family,Sport",50%,40%
Between the Lines,between the lines,"Comedy,Drama,Romance",94%,52%
Black Sunday,black sunday,"Adventure,Crime,Drama",86%,78%
Bobby Deerfield,bobby deerfield,"Drama,Romance",29%,45%
Breaker! Breaker!,breaker! breaker!,"Action,Adventure,Crime",,29%
Candleshoe,candleshoe,"Adventure,Comedy,Drama",,71%
The Car,the car,"Action,Horror,Mystery",30%,52%
The Chicken Chronicles,the chicken chronicles,Comedy,,55%
The Choirboys,the choirboys,"Comedy,Crime,Drama",40%,39%
Close Encounters of the Third Kind,close encounters of the third kind,"Drama,Sci-Fi",90%,85%
Cyclone,cyclone,"Action,Adventure,Drama",,
Damnation Alley,damnation alley,Sci-Fi,45%,34%
The House by the Lake,death weekend,"Horror,Thriller",,28%
The Deep,the deep,"Adventure,Mystery,Thriller",42%,38%
God Told Me To,god told me to,"Crime,Horror,Mystery",80%,51%
Demon Seed,demon seed,"Horror,Sci-Fi",59%,47%
Desperate Living,desperate living,"Comedy,Crime,Fantasy",70%,80%
The Disappearance,the disappearance,"Drama,Thriller",,
The Domino Principle,the domino principle,"Drama,Thriller",14%,20%
The Duellists,the duellists,"Drama,War",74%,83%
Empire of the Ants,empire of the ants,"Adventure,Horror,Sci-Fi",5%,25%
An Enemy of the People,an enemy of the people,Drama,,
Equus,equus,"Drama,Mystery",70%,78%
Exorcist II: The Heretic,exorcist ii: the heretic,Horror,11%,13%
Fire Sale,fire sale,Comedy,,
For the Love of Benji,for the love of benji,"Adventure,Comedy,Drama",,59%
Freaky Friday,freaky friday,"Comedy,Family,Fantasy",88%,58%
Fun with Dick and Jane,fun with dick and jane,"Comedy,Crime",29%,49%
Funny People,funny people,Comedy,69%,48%
The Gauntlet,the gauntlet,"Action,Crime,Thriller",75%,54%
The Getting of Wisdom,the getting of wisdom,Drama,80%,50%
The Goodbye Girl,the goodbye girl,"Comedy,Drama,Romance",80%,85%
The Report,gozaresh,Drama,,57%
Grand Theft Auto,grand theft auto,"Action,Comedy,Crime",27%,35%
The Great Bank Hoax,the great bank hoax,Comedy,,12%
The Great Texas Dynamite Chase,the great texas dynamite chase,"Action,Comedy,Crime",,41%
The Greatest,the greatest,"Biography,Drama,Sport",,
The Happy Hooker Goes to Washington,the happy hooker goes to washington,Comedy,,10%
Herbie Goes to Monte Carlo,herbie goes to monte carlo,"Action,Adventure,Comedy",60%,57%
Heroes,heroes,"Comedy,Drama",,58%
High Anxiety,high anxiety,"Comedy,Mystery,Thriller",75%,67%
High Velocity,high velocity,"Action,Adventure,Drama",,60%
"Alice, Sweet Alice",communion,"Crime,Drama,Horror",43%,46%
I Never Promised You a Rose Garden,i never promised you a rose garden,"Drama,Fantasy",40%,54%
March or Die,march or die,"Adventure,Drama,Romance",,46%
In Search of Noah's Ark,in search of noah's ark,"Documentary,Family",,44%
Jabberwocky,jabberwocky,"Adventure,Comedy,Fantasy",45%,47%
Joseph Andrews,joseph andrews,"Adventure,Comedy,Drama",,45%
Joy,joy,Adult,,
Joyride,joyride,"Adventure,Comedy,Crime",,
Jubilee,jubilee,"Comedy,Crime,Drama",100%,58%
Julia,julia,Drama,,
The Kentucky Fried Movie,the kentucky fried movie,Comedy,83%,66%
Killer of Sheep,killer of sheep,Drama,98%,84%
Kingdom of the Spiders,kingdom of the spiders,"Horror,Sci-Fi",50%,36%
The Last Remake of Beau Geste,the last remake of beau geste,"Adventure,Comedy,War",50%,63%
The Last Wave,the last wave,"Drama,Fantasy,Mystery",82%,79%
The Late Show,the late show,"Comedy,Mystery,Thriller",95%,77%
A Little Night Music,a little night music,"Comedy,Musical,Romance",17%,29%
Looking for Mr. Goodbar,looking for mr. goodbar,Drama,61%,74%
MacArthur,macarthur,"Biography,Drama,History",45%,60%
The Many Adventures of Winnie the Pooh,the many adventures of winnie the pooh,"Animation,Comedy,Family",100%,87%
Mirrors,mirrors,"Horror,Thriller",,
The Mouse and His Child,the mouse and his child,"Adventure,Animation,Drama",,60%
Mr. Billion,mr. billion,"Action,Comedy,Family",,12%
"New York, New York","new york, new york","Drama,Music,Musical",57%,58%
"Oh, God!","oh, god!","Comedy,Fantasy",75%,59%
One on One,one on one,"Drama,Sport",,
Orca,orca,"Adventure,Drama,Horror",,
The Other Side of Midnight,the other side of midnight,"Drama,Romance,Thriller",25%,73%
Outlaw Blues,outlaw blues,"Action,Comedy,Drama",,45%
The Pack,the pack,"Adventure,Horror,Thriller",,19%
Pete's Dragon,pete's dragon,"Adventure,Animation,Comedy",56%,60%
The Picture Show Man,the picture show man,"Comedy,Drama",,40%
Providence,providence,Drama,73%,86%
Pumping Iron,pumping iron,"Documentary,Sport",92%,84%
Coming Attractions,loose shoes,Comedy,,16%
Rabid,rabid,"Horror,Sci-Fi",78%,46%
The Rescuers,the rescuers,"Adventure,Animation,Comedy",,
The Rescuers,the rescuers,"Adventure,Animation,Comedy",79%,68%
Rollercoaster,rollercoaster,"Action,Crime,Drama",17%,
Rolling Thunder,rolling thunder,"Crime,Drama,Thriller",,
Roseland,roseland,"Drama,Music,Romance",,25%
Ruby,ruby,"Drama,Horror",57%,10%
Saturday Night Fever,saturday night fever,"Drama,Music",82%,71%
Scott Joplin,scott joplin,"Biography,Drama,Music",,75%
The Sentinel,the sentinel,Horror,35%,41%
The Serpent's Egg,the serpent's egg,"Drama,Mystery,Thriller",20%,56%
Short Eyes,short eyes,Drama,92%,84%
Silver Bears,silver bears,"Comedy,Crime",,33%
Sinbad and the Eye of the Tiger,sinbad and the eye of the tiger,"Action,Adventure,Family",60%,55%
Slap Shot,slap shot,"Comedy,Drama,Sport",85%,88%
Smokey and the Bandit,smokey and the bandit,"Action,Adventure,Comedy",72%,85%
The Spy Who Loved Me,the spy who loved me,"Action,Adventure,Thriller",82%,77%
Starship Invasions,starship invasions,Sci-Fi,,36%
Steppe,step,"Drama,History",,
Summer City,summer city,"Drama,Thriller",,20%
Suspiria,suspiria,Horror,65%,72%
Sweet Revenge,sweet revenge,"Comedy,Crime,Drama",,
Taboo,tabu,Drama,93%,77%
Telefon,telefon,"Action,Crime,Drama",44%,48%
Thunder and Lightning,thunder and lightning,"Action,Adventure,Comedy",,40%
Tomorrow Never Comes,tomorrow never comes,"Crime,Drama",,0%
Twilight's Last Gleaming,twilight's last gleaming,"Drama,Thriller",80%,73%
Welcome to L.A.,welcome to l.a.,"Drama,Music,Romance",,46%
Which Way Is Up?,which way is up?,Comedy,20%,82%
The White Buffalo,the white buffalo,"Action,Adventure,Western",17%,51%
Wizards,wizards,"Adventure,Animation,Fantasy",62%,69%
The World's Greatest Lover,the world's greatest lover,Comedy,15%,54%
You Light Up My Life,you light up my life,"Drama,Music,Romance",17%,20%
Almost Summer,almost summer,Comedy,,
American Hot Wax,american hot wax,"Drama,History,Music",67%,85%
The Bad News Bears Go to Japan,the bad news bears go to japan,"Comedy,Family,Sport",6%,28%
The Betsy,the betsy,Drama,17%,22%
Big Wednesday,big wednesday,"Drama,Sport",67%,87%
Blue Collar,blue collar,"Crime,Drama",96%,88%
Blue Fin,blue fin,"Adventure,Drama,Family",,56%
The Boys in Company C,the boys in company c,"Drama,War",,77%
Brass Target,brass target,"Action,Drama,Mystery",,35%
The Brink's Job,the brink's job,"Comedy,Crime,Drama",70%,56%
The Buddy Holly Story,the buddy holly story,"Biography,Drama,Music",100%,77%
California Suite,california suite,"Comedy,Drama,Romance",48%,45%
Capricorn One,capricorn one,"Action,Adventure,Drama",65%,58%
Casey's Shadow,casey's shadow,"Drama,Family,Sport",80%,72%
The Cat from Outer Space,the cat from outer space,"Comedy,Family,Sci-Fi",67%,59%
The Cheap Detective,the cheap detective,"Comedy,Crime,Mystery",53%,57%
The Children of Sanchez,the children of sanchez,Drama,,59%
The Class of Miss MacMichael,the class of miss macmichael,"Comedy,Drama",,
Coach,coach,"Comedy,Sport",,0%
Coma,coma,"Drama,Mystery,Thriller",,55%
The Comeback,the comeback,"Horror,Mystery,Thriller",,
Comes a Horseman,comes a horseman,"Drama,Romance,Western",67%,54%
Coming Home,coming home,"Drama,Romance,War",83%,83%
Corvette Summer,corvette summer,"Adventure,Comedy",56%,43%
Damien: Omen II,damien: omen ii,Horror,48%,48%
Dawn of the Dead,dawn of the dead,"Horror,Thriller",76%,77%
Days of Heaven,days of heaven,"Drama,Romance",94%,89%
Deal,deal,Documentary,,
Death on the Nile,death on the nile,"Crime,Drama,Mystery",80%,79%
Deathsport,deathsport,"Action,Drama,Sci-Fi",,27%
The Deer Hunter,the deer hunter,"Drama,War",86%,91%
Despair,despair,"Drama,History",65%,76%
The Driver,the driver,"Action,Crime,Thriller",,8%
The Driver,the driver,"Action,Crime,Thriller",79%,77%
The End,the end,"Comedy,Drama",56%,50%
Every Which Way But Loose,every which way but loose,"Action,Comedy",41%,56%
The Evil,the evil,"Horror,Thriller",,33%
Eyes of Laura Mars,eyes of laura mars,"Mystery,Thriller",61%,43%
FM,fm,"Comedy,Drama,Music",20%,63%
Five Days from Home,five days from home,"Action,Crime,Drama",,
Force 10 from Navarone,force 10 from navarone,"Action,Drama,War",67%,56%
Foul Play,foul play,"Comedy,Mystery,Thriller",,
The Further Adventures of the Wilderness Family,the further adventures of the wilderness family,"Adventure,Family",,48%
The Fury,the fury,"Horror,Sci-Fi,Thriller",,
Game of Death,game of death,"Action,Crime,Drama",,20%
Girlfriends,girlfriends,"Comedy,Drama",,
Go Tell the Spartans,go tell the spartans,"Drama,War",67%,58%
Goin' Coconuts,goin' coconuts,"Adventure,Comedy",,40%
Goin' South,goin' south,"Comedy,Romance,Western",69%,49%
Gray Lady Down,gray lady down,"Adventure,Drama,History",63%,37%
Grayeagle,grayeagle,"Adventure,Drama,Romance",,70%
Grease,grease,"Comedy,Musical,Romance",66%,87%
The Greek Tycoon,the greek tycoon,Drama,0%,27%
Harper Valley P.T.A.,harper valley p.t.a.,Comedy,,54%
Here Come the Tigers,here come the tigers,"Comedy,Sport",,33%
High-Ballin',high-ballin',"Action,Drama",,28%
The Hills Have Eyes,the hills have eyes,"Horror,Thriller",52%,58%
Hooper,hooper,"Action,Comedy",57%,61%
Hot Lead and Cold Feet,hot lead and cold feet,"Comedy,Western",,65%
House Calls,house calls,"Comedy,Drama,Romance",33%,48%
I Wanna Hold Your Hand,i wanna hold your hand,"Comedy,Music,Romance",90%,75%
Ice Castles,ice castles,"Drama,Romance,Sport",44%,68%
If Ever I See You Again,if ever i see you again,"Drama,Romance",,86%
Interiors,interiors,Drama,78%,79%
International Velvet,international velvet,"Drama,Family,Sport",,72%
The Irishman,the irishman,"Drama,Romance",95%,86%
The Irishman,the irishman,"Drama,Romance",,
It Lives Again,it lives again,"Horror,Sci-Fi",47%,27%
Jaws 2,jaws 2,"Adventure,Horror,Thriller",62%,39%
Killer's Moon,killer's moon,"Crime,Drama,Horror",,8%
King of the Gypsies,king of the gypsies,"Crime,Drama",67%,62%
The Kirlian Witness,the kirlian witness,Thriller,,
Laserblast,laserblast,"Horror,Sci-Fi",,15%
The Last Waltz,the last waltz,"Biography,Documentary,Music",,
The Last Waltz,the last waltz,"Biography,Documentary,Music",98%,94%
The Lord of the Rings,the lord of the rings,"Adventure,Animation,Fantasy",49%,64%
The Magic of Lassie,the magic of lassie,"Drama,Family,Musical",,62%
The Manitou,the manitou,"Horror,Sci-Fi",45%,35%
Martin,martin,"Drama,Horror",90%,76%
Matilda,matilda,"Comedy,Crime,Family",,53%
Mean Dog Blues,mean dog blues,"Action,Drama,Thriller",,
The Medusa Touch,the medusa touch,"Drama,Mystery",,73%
Midnight Express,midnight express,"Biography,Crime,Drama",90%,88%
Moment by Moment,moment by moment,"Drama,Romance",22%,24%
Money Movers,money movers,"Crime,Drama,Thriller",,56%
Mouth to Mouth,mouth to mouth,Drama,33%,49%
Movie Movie,movie movie,"Comedy,Musical,Sport",,57%
National Lampoon's Animal House,national lampoon's animal house,Comedy,91%,89%
Newsfront,newsfront,"Drama,History",80%,57%
"The Night, the Prowler","the night, the prowler","Comedy,Drama",,
Nighthawks,nighthawks,Drama,71%,55%
The Norseman,the norseman,"Action,Adventure",,9%
Nunzio,nunzio,Drama,,
The Odd Job,the odd job,Comedy,,14%
Oliver's Story,oliver's story,"Drama,Romance",25%,24%
The One and Only,the one and only,"Comedy,Romance",,
Our Winning Season,our winning season,Drama,,
Patrick,patrick,"Drama,Horror,Sci-Fi",40%,
Planet of Dinosaurs,planet of dinosaurs,"Drama,Sci-Fi",,32%
Power Play,power play,"Drama,Thriller",,
Rabbit Test,rabbit test,Comedy,,17%
Remember My Name,remember my name,"Drama,Thriller",70%,40%
Renaldo and Clara,renaldo and clara,"Documentary,Drama,Music",38%,67%
Return from Witch Mountain,return from witch mountain,"Adventure,Family,Fantasy",50%,39%
Revenge of the Pink Panther,revenge of the pink panther,"Comedy,Crime,Mystery",84%,70%
"Same Time, Next Year","same time, next year","Comedy,Drama,Romance",40%,85%
Semi-Tough,semi-tough,"Comedy,Romance,Sport",83%,33%
The Seniors,the seniors,Comedy,,0%
"September 30, 1955","september 30, 1955",Drama,,53%
Sextette,sextette,"Comedy,Musical,Romance",25%,32%
Sgt. Pepper's Lonely Hearts Club Band,sgt. pepper's lonely hearts club band,"Adventure,Comedy,Fantasy",11%,44%
The Shout,the shout,"Drama,Horror",87%,68%
Slow Dancing in the Big City,slow dancing in the big city,"Drama,Musical,Romance",,
Solo,solo,"Drama,Romance",8%,26%
Somebody Killed Her Husband,somebody killed her husband,"Comedy,Crime,Drama",,
Straight Time,straight time,"Crime,Drama",83%,83%
The Stud,the stud,"Drama,Romance",,
The Stud,the stud,"Drama,Romance",,31%
Stunt Rock,stunt rock,"Action,Drama,Music",80%,30%
The Swarm,the swarm,"Horror,Thriller",9%,19%
Thank God It's Friday,thank god it's friday,"Comedy,Music",36%,35%
Till Death,till death,Horror,,
Tilt,tilt,Drama,,57%
Two Solitudes,two solitudes,"Drama,History",,
Uncle Joe Shannon,uncle joe shannon,Drama,,
Warlords of the Deep,warlords of atlantis,"Adventure,Fantasy,Horror",,42%
The Watcher,the watcher,,11%,28%
The Water Babies,the water babies,"Adventure,Animation,Family",,70%
Watership Down,watership down,"Adventure,Animation,Drama",79%,86%
A Wedding,a wedding,"Comedy,Drama",100%,86%
Who Is Killing the Great Chefs of Europe?,who is killing the great chefs of europe?,"Comedy,Crime,Mystery",77%,70%
The Wild Geese,the wild geese,"Action,Adventure,Drama",70%,76%
Metamorphoses,metamorphoses,"Animation,Fantasy",,
The Wiz,the wiz,"Adventure,Family,Fantasy",44%,65%
Zero to Sixty,zero to sixty,Comedy,,17%
And Justice for All,...and justice for all,"Crime,Drama,Thriller",83%,80%
10,10,"Comedy,Romance",68%,56%
10,10,"Comedy,Romance",85%,80%
1941,1941,"Action,Comedy,War",39%,48%
Agatha,agatha,"Drama,Mystery,Thriller",71%,58%
Alien,alien,"Horror,Sci-Fi",93%,94%
All That Jazz,all that jazz,"Drama,Music,Musical",87%,85%
An Almost Perfect Affair,an almost perfect affair,"Comedy,Romance",,
The Amityville Horror,the amityville horror,Horror,31%,52%
The Amityville Horror,the amityville horror,Horror,24%,52%
Animalympics,animalympics,"Animation,Comedy,Family",,88%
Apocalypse Now,apocalypse now,"Drama,Mystery,War",97%,94%
The Apple Dumpling Gang Rides Again,the apple dumpling gang rides again,"Comedy,Family,Western",,53%
Arabian Adventure,arabian adventure,"Adventure,Fantasy",,36%
Avalanche Express,avalanche express,"Action,Thriller",20%,12%
Baby Snakes,baby snakes,"Comedy,Documentary,Music",,92%
Bear Island,bear island,"Action,Adventure,Mystery",,30%
Being There,being there,"Comedy,Drama",95%,92%
Beyond the Poseidon Adventure,beyond the poseidon adventure,"Action,Adventure",0%,21%
Birth of the Beatles,birth of the beatles,"Biography,Drama,Music",,58%
The Black Hole,the black hole,"Action,Sci-Fi",,8%
The Black Stallion,the black stallion,"Adventure,Family,Sport",90%,83%
Bloodbrothers,bloodbrothers,Drama,,50%
Bloodline,bloodline,"Crime,Drama,Mystery",,
Border Cop,the border,"Crime,Drama,Thriller",65%,52%
Boulevard Nights,boulevard nights,"Crime,Drama",,91%
Breaking Away,breaking away,"Comedy,Drama,Sport",95%,88%
The Brood,the brood,"Horror,Sci-Fi",81%,68%
Butch and Sundance: The Early Days,butch and sundance: the early days,"Comedy,Western",33%,52%
C.H.O.M.P.S.,c.h.o.m.p.s.,"Comedy,Family,Sci-Fi",,28%
Chapter Two,chapter two,"Comedy,Drama,Romance",50%,35%
The China Syndrome,the china syndrome,"Drama,Thriller",88%,81%
Circle of Iron,circle of iron,"Action,Adventure,Fantasy",38%,60%
City on Fire,city on fire,"Action,Drama",,23%
Cuba,cuba,"Adventure,Romance,Thriller",42%,28%
Dirt,dirt,"Documentary,Sport",,
The Driller Killer,the driller killer,"Drama,Horror,Thriller",64%,32%
Eagle's Wing,eagle's wing,Western,,26%
The Electric Horseman,the electric horseman,"Comedy,Drama,Romance",64%,57%
Escape from Alcatraz,escape from alcatraz,"Biography,Crime,Drama",97%,85%
Escape to Athena,escape to athena,"Action,Adventure,Comedy",,32%
The Europeans,the europeans,"Drama,Romance",80%,38%
Fast Break,fast break,"Comedy,Sport",,56%
Fast Charlie... the Moonbeam Rider,fast charlie... the moonbeam rider,Comedy,,
The Fifth Musketeer,the fifth musketeer,"Action,Adventure,Romance",,42%
The Fish That Saved Pittsburgh,the fish that saved pittsburgh,"Comedy,Sport",,71%
Flicka,flicka,,54%,82%
A Force of One,a force of one,"Action,Crime,Drama",,28%
French Kiss,french kiss,"Adult,Comedy",48%,74%
French Postcards,french postcards,"Comedy,Drama,Romance",,67%
The Frisco Kid,the frisco kid,"Adventure,Comedy,Drama",54%,67%
Going in Style,going in style,"Comedy,Crime,Drama",82%,75%
